dress_type;color;size;browser;result;time;exception
Casual;Orange;M;chrome;FAILURE;0;java.lang.NullPointerException
Casual;Orange;L;chrome;FAILURE;0;java.lang.NullPointerException
Evening;Beige;M;chrome;FAILURE;0;java.lang.NullPointerException
Evening;Beige;L;chrome;FAILURE;0;java.lang.NullPointerException
Evening;Pink;M;chrome;FAILURE;0;java.lang.NullPointerException
Evening;Pink;L;chrome;FAILURE;0;java.lang.NullPointerException
Summer;White;M;chrome;FAILURE;0;java.lang.NullPointerException
Summer;White;L;chrome;FAILURE;0;java.lang.NullPointerException
Summer;Black;M;chrome;FAILURE;0;java.lang.NullPointerException
Summer;Black;L;chrome;FAILURE;0;java.lang.NullPointerException
Summer;Orange;M;chrome;FAILURE;0;java.lang.NullPointerException
Summer;Orange;L;chrome;FAILURE;0;java.lang.NullPointerException
Summer;Blue;M;chrome;FAILURE;0;java.lang.NullPointerException
Summer;Blue;L;chrome;FAILURE;0;java.lang.NullPointerException
Summer;Green;M;chrome;FAILURE;0;java.lang.NullPointerException
Summer;Green;L;chrome;FAILURE;0;java.lang.NullPointerException
Summer;Yellow;M;chrome;FAILURE;0;java.lang.NullPointerException
Summer;Yellow;L;chrome;FAILURE;0;java.lang.NullPointerException
