dress_type;color;size;browser;result;time;exception
Casual;Orange;M;chrome;FAILURE;11;java.lang.IllegalMonitorStateException
Casual;Orange;L;chrome;FAILURE;12;java.lang.IllegalMonitorStateException
Evening;Beige;M;chrome;FAILURE;12;java.lang.IllegalMonitorStateException
Evening;Beige;L;chrome;FAILURE;12;java.lang.IllegalMonitorStateException
Evening;Pink;M;chrome;FAILURE;11;java.lang.IllegalMonitorStateException
Evening;Pink;L;chrome;FAILURE;10;java.lang.IllegalMonitorStateException
Summer;White;M;chrome;FAILURE;12;java.lang.IllegalMonitorStateException
Summer;White;L;chrome;FAILURE;12;java.lang.IllegalMonitorStateException
Summer;Black;M;chrome;FAILURE;12;java.lang.IllegalMonitorStateException
Summer;Black;L;chrome;FAILURE;11;java.lang.IllegalMonitorStateException
Summer;Orange;M;chrome;FAILURE;9;java.lang.IllegalMonitorStateException
Summer;Orange;L;chrome;FAILURE;8;java.lang.IllegalMonitorStateException
Summer;Blue;M;chrome;FAILURE;8;java.lang.IllegalMonitorStateException
Summer;Blue;L;chrome;FAILURE;8;java.lang.IllegalMonitorStateException
Summer;Green;M;chrome;FAILURE;8;java.lang.IllegalMonitorStateException
Summer;Green;L;chrome;FAILURE;8;java.lang.IllegalMonitorStateException
Summer;Yellow;M;chrome;FAILURE;7;java.lang.IllegalMonitorStateException
Summer;Yellow;L;chrome;FAILURE;7;java.lang.IllegalMonitorStateException
