dress_type;color;size;browser;result;time;exception
Casual;Orange;M;chrome;FAILURE;7;java.lang.NullPointerException
Casual;Orange;L;chrome;FAILURE;5;java.lang.NullPointerException
Evening;Beige;M;chrome;FAILURE;10;java.lang.RuntimeException
Evening;Beige;L;chrome;FAILURE;5;java.lang.RuntimeException
Evening;Pink;M;chrome;FAILURE;11;java.lang.RuntimeException
Evening;Pink;L;chrome;FAILURE;6;java.lang.RuntimeException
Summer;White;M;chrome;FAILURE;13;java.lang.RuntimeException
Summer;White;L;chrome;FAILURE;12;java.lang.RuntimeException
Summer;Black;M;chrome;FAILURE;11;java.lang.RuntimeException
Summer;Black;L;chrome;FAILURE;12;java.lang.RuntimeException
Summer;Orange;M;chrome;FAILURE;0;java.lang.NullPointerException
Summer;Orange;L;chrome;FAILURE;0;java.lang.NullPointerException
Summer;Blue;M;chrome;FAILURE;0;java.lang.NullPointerException
Summer;Blue;L;chrome;FAILURE;0;java.lang.NullPointerException
Summer;Green;M;chrome;FAILURE;0;java.lang.NullPointerException
Summer;Green;L;chrome;FAILURE;0;java.lang.NullPointerException
Summer;Yellow;M;chrome;FAILURE;0;java.lang.NullPointerException
Summer;Yellow;L;chrome;FAILURE;0;java.lang.NullPointerException
