dress_type;color;size;browser;result;time;exception
Casual;Orange;M;chrome;FAILURE;14;java.lang.IllegalMonitorStateException
Casual;Orange;L;chrome;FAILURE;4;org.openqa.selenium.SessionNotCreatedException
Evening;Beige;M;chrome;FAILURE;15;java.lang.IllegalMonitorStateException
Evening;Beige;L;chrome;FAILURE;15;java.lang.IllegalMonitorStateException
Evening;Pink;M;chrome;FAILURE;4;org.openqa.selenium.SessionNotCreatedException
Evening;Pink;L;chrome;FAILURE;15;java.lang.IllegalMonitorStateException
Summer;White;M;chrome;FAILURE;14;java.lang.IllegalMonitorStateException
Summer;White;L;chrome;FAILURE;14;java.lang.IllegalMonitorStateException
Summer;Black;M;chrome;FAILURE;15;java.lang.IllegalMonitorStateException
Summer;Black;L;chrome;FAILURE;14;java.lang.IllegalMonitorStateException
Summer;Orange;M;chrome;FAILURE;12;java.lang.IllegalMonitorStateException
Summer;Orange;L;chrome;FAILURE;12;java.lang.IllegalMonitorStateException
Summer;Blue;M;chrome;FAILURE;11;java.lang.IllegalMonitorStateException
Summer;Blue;L;chrome;FAILURE;11;java.lang.IllegalMonitorStateException
Summer;Green;M;chrome;FAILURE;11;java.lang.IllegalMonitorStateException
Summer;Green;L;chrome;FAILURE;10;java.lang.IllegalMonitorStateException
Summer;Yellow;M;chrome;FAILURE;10;java.lang.IllegalMonitorStateException
Summer;Yellow;L;chrome;FAILURE;10;java.lang.IllegalMonitorStateException
