dress_type;color;size;browser;result;time;exception
Casual;Orange;M;chrome;FAILURE;30;org.openqa.selenium.StaleElementReferenceException
Casual;Orange;L;chrome;FAILURE;33;java.lang.IllegalMonitorStateException
Evening;Beige;M;chrome;FAILURE;32;java.lang.IllegalMonitorStateException
Evening;Beige;L;chrome;FAILURE;31;org.openqa.selenium.StaleElementReferenceException
Evening;Pink;M;chrome;FAILURE;31;java.lang.IllegalMonitorStateException
Evening;Pink;L;chrome;FAILURE;30;org.openqa.selenium.StaleElementReferenceException
Summer;White;M;chrome;FAILURE;33;java.lang.IllegalMonitorStateException
Summer;White;L;chrome;FAILURE;30;org.openqa.selenium.UnhandledAlertException
Summer;Black;M;chrome;FAILURE;28;org.openqa.selenium.StaleElementReferenceException
Summer;Black;L;chrome;FAILURE;31;java.lang.IllegalMonitorStateException
Summer;Orange;M;chrome;FAILURE;26;org.openqa.selenium.UnhandledAlertException
Summer;Orange;L;chrome;FAILURE;25;org.openqa.selenium.UnhandledAlertException
Summer;Blue;M;chrome;FAILURE;23;org.openqa.selenium.StaleElementReferenceException
Summer;Blue;L;chrome;FAILURE;23;org.openqa.selenium.UnhandledAlertException
Summer;Green;M;chrome;FAILURE;23;org.openqa.selenium.UnhandledAlertException
Summer;Green;L;chrome;FAILURE;23;org.openqa.selenium.UnhandledAlertException
Summer;Yellow;M;chrome;FAILURE;23;org.openqa.selenium.UnhandledAlertException
Summer;Yellow;L;chrome;FAILURE;22;org.openqa.selenium.StaleElementReferenceException
