dress_type;color;size;browser;result;time;exception
Casual;Orange;M;chrome;FAILURE;29;org.openqa.selenium.StaleElementReferenceException
Casual;Orange;L;chrome;FAILURE;30;org.openqa.selenium.StaleElementReferenceException
Evening;Beige;M;chrome;FAILURE;28;org.openqa.selenium.StaleElementReferenceException
Evening;Beige;L;chrome;FAILURE;150;org.openqa.selenium.TimeoutException
Evening;Pink;M;chrome;FAILURE;28;org.openqa.selenium.UnhandledAlertException
Evening;Pink;L;chrome;FAILURE;150;org.openqa.selenium.TimeoutException
Summer;White;M;chrome;FAILURE;28;org.openqa.selenium.UnhandledAlertException
Summer;White;L;chrome;FAILURE;151;org.openqa.selenium.TimeoutException
Summer;Black;M;chrome;FAILURE;32;org.openqa.selenium.StaleElementReferenceException
Summer;Black;L;chrome;FAILURE;29;org.openqa.selenium.UnhandledAlertException
Summer;Orange;M;chrome;FAILURE;19;org.openqa.selenium.StaleElementReferenceException
Summer;Orange;L;chrome;FAILURE;140;org.openqa.selenium.NoSuchElementException
Summer;Blue;M;chrome;FAILURE;143;org.openqa.selenium.NoSuchElementException
Summer;Blue;L;chrome;FAILURE;141;org.openqa.selenium.NoSuchElementException
Summer;Green;M;chrome;FAILURE;19;org.openqa.selenium.UnhandledAlertException
Summer;Green;L;chrome;FAILURE;19;org.openqa.selenium.UnhandledAlertException
Summer;Yellow;M;chrome;FAILURE;16;org.openqa.selenium.UnhandledAlertException
Summer;Yellow;L;chrome;FAILURE;8;org.openqa.selenium.UnhandledAlertException
