dress_type;color;size;browser;result;time;exception
Casual;Orange;M;chrome;FAILURE;149;org.openqa.selenium.NoSuchElementException
Casual;Orange;L;chrome;FAILURE;150;org.openqa.selenium.TimeoutException
Evening;Beige;M;chrome;FAILURE;28;org.openqa.selenium.StaleElementReferenceException
Evening;Beige;L;chrome;FAILURE;30;org.openqa.selenium.StaleElementReferenceException
Evening;Pink;M;chrome;FAILURE;149;org.openqa.selenium.NoSuchElementException
Evening;Pink;L;chrome;FAILURE;150;org.openqa.selenium.TimeoutException
Summer;White;M;chrome;FAILURE;149;org.openqa.selenium.NoSuchElementException
Summer;White;L;chrome;FAILURE;30;org.openqa.selenium.StaleElementReferenceException
Summer;Black;M;chrome;FAILURE;30;org.openqa.selenium.StaleElementReferenceException
Summer;Black;L;chrome;FAILURE;149;org.openqa.selenium.TimeoutException
Summer;Orange;M;chrome;FAILURE;14;org.openqa.selenium.StaleElementReferenceException
Summer;Orange;L;chrome;FAILURE;15;org.openqa.selenium.StaleElementReferenceException
Summer;Blue;M;chrome;FAILURE;135;org.openqa.selenium.NoSuchElementException
Summer;Blue;L;chrome;FAILURE;134;org.openqa.selenium.NoSuchElementException
Summer;Green;M;chrome;FAILURE;10;java.lang.IllegalMonitorStateException
Summer;Green;L;chrome;FAILURE;9;java.lang.IllegalMonitorStateException
Summer;Yellow;M;chrome;FAILURE;10;org.openqa.selenium.UnhandledAlertException
Summer;Yellow;L;chrome;FAILURE;10;java.lang.IllegalMonitorStateException
