dress_type;color;size;browser;result;time;exception
Casual;Orange;M;chrome;FAILURE;28;org.openqa.selenium.StaleElementReferenceException
Casual;Orange;L;chrome;FAILURE;32;org.openqa.selenium.StaleElementReferenceException
Evening;Beige;M;chrome;FAILURE;28;org.openqa.selenium.StaleElementReferenceException
Evening;Beige;L;chrome;FAILURE;4;org.openqa.selenium.SessionNotCreatedException
Evening;Pink;M;chrome;FAILURE;29;org.openqa.selenium.StaleElementReferenceException
Evening;Pink;L;chrome;FAILURE;28;org.openqa.selenium.StaleElementReferenceException
Summer;White;M;chrome;FAILURE;150;org.openqa.selenium.NoSuchElementException
Summer;White;L;chrome;FAILURE;5;org.openqa.selenium.SessionNotCreatedException
Summer;Black;M;chrome;FAILURE;28;org.openqa.selenium.StaleElementReferenceException
Summer;Black;L;chrome;FAILURE;28;org.openqa.selenium.StaleElementReferenceException
Summer;Orange;M;chrome;FAILURE;150;org.openqa.selenium.NoSuchElementException
Summer;Orange;L;chrome;FAILURE;145;org.openqa.selenium.TimeoutException
Summer;Blue;M;chrome;FAILURE;18;org.openqa.selenium.UnhandledAlertException
Summer;Blue;L;chrome;FAILURE;18;org.openqa.selenium.UnhandledAlertException
Summer;Green;M;chrome;FAILURE;18;org.openqa.selenium.UnhandledAlertException
Summer;Green;L;chrome;FAILURE;18;org.openqa.selenium.UnhandledAlertException
Summer;Yellow;M;chrome;FAILURE;18;org.openqa.selenium.UnhandledAlertException
Summer;Yellow;L;chrome;FAILURE;17;org.openqa.selenium.UnhandledAlertException
