dress_type;color;size;browser;result;time;exception
Casual;Orange;M;chrome;SUCCESS;10;
Casual;Orange;L;chrome;SUCCESS;10;
Evening;Beige;M;chrome;SUCCESS;10;
Evening;Beige;L;chrome;SUCCESS;10;
Evening;Pink;M;chrome;SUCCESS;10;
Evening;Pink;L;chrome;SUCCESS;10;
Summer;White;M;chrome;SUCCESS;10;
Summer;White;L;chrome;SUCCESS;10;
Summer;Black;M;chrome;SUCCESS;10;
Summer;Black;L;chrome;SUCCESS;10;
Summer;Orange;M;chrome;SUCCESS;6;
Summer;Orange;L;chrome;SUCCESS;7;
Summer;Blue;M;chrome;SUCCESS;6;
Summer;Blue;L;chrome;SUCCESS;7;
Summer;Green;M;chrome;SUCCESS;7;
Summer;Green;L;chrome;SUCCESS;7;
Summer;Yellow;M;chrome;SUCCESS;7;
Summer;Yellow;L;chrome;SUCCESS;7;
